"Timestamp","Event","Serial","Model","Size","FlashDriveName"
"23:16","Inserted","00003412050325150411"," USB  SanDisk 3.2Gen1 SCSI Disk Device","28.67 GB","KEN"
"23:24","Inserted","00003412050325150411"," USB  SanDisk 3.2Gen1 SCSI Disk Device","28.67 GB","KEN"
