"Timestamp","Name","Action","ActionLocation"
"00:08","Unknown"," USB  SanDisk 3.2Gen1 SCSI Disk Device(30778997760) Inserted",""
"00:11","Unknown"," USB  SanDisk 3.2Gen1 SCSI Disk Device(30778997760) Inserted",""
"00:11","Unknown"," USB  SanDisk 3.2Gen1 SCSI Disk Device(30778997760) Removed",""
